id,subject,from,received_at,body,request_type,urgency,one_line_summary,suggested_action,chargeback_risk,confidence,source
19f4dd6607cbbba1,Your application to iOS Developer at Envision Technology Solutions,LinkedIn <jobs-noreply@linkedin.com>,"Fri, 10 Jul 2026 21:02:02 +0000 (UTC)","Your update from Envision Technology Solutions

----------------------------------------

This email was intended for Ashok Mamidi (iOS | ReactNative | Flutter | AI/ML | Generative AI | LLM Applications | RAG | AI Agents | Swift | Swift UI | Python)
Learn why we included this: https://www.linkedin.com/help/linkedin/answer/4788?lang=en&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_application_rejected_01%3BslbEAFnfT8qXHftkMNQqJQ%3D%3D&midToken=AQG15JqzYvDi5Q&midSig=0SfiDI6dZKDYk1&trk=eml-email_jobs_application_rejected_01-SecurityHelp-0-textfooterglimmer&trkEmail=eml-email_jobs_application_rejected_01-SecurityHelp-0-textfooterglimmer-null-23jf9m~mrff8kum~uc-null-null&eid=23jf9m-mrff8kum-uc&otpToken=MTMwNzE4ZTgxNTI5Y2RjMWI0MjQwNGVkNGUxZGUwYjU4OGNkZDI0MDllYWQ4NjYxNzRjNTAzNmY0YTU5NWRmNWY2ZGY4MjgxNThkN2U0ODM0MWU3N2YwMGUxYjZiNWQwNzUzOTliMTE0Y2I0MDQzMTE0OGEsMSwx
You are receiving LinkedIn notification emails.


Unsubscribe: https://www.linkedin.com/comm/mypreferences/u/emailunsub?action=up",Other,low,Automated LinkedIn job application rejection notification.,standard_reply,False,0.4969510447486396,Gemini
19f4dd14a19898ed,"Ashok, activate this offer to earn $20 per month in Star Money before it’s too late!","""Macy's American Express Card"" <citi@info15.citi.com>","Fri, 10 Jul 2026 14:56:20 -0600","



Ashok, activate this offer to earn $20 per month in Star Money before it’s too late!
 
 
 
 
 
 
 
 Earn $20 in Star Money (that’s 2,000 points) each month on eligible outside of Macy's purchases made with your Macy’s American Express® Card until 07/31/26. See details below.
 

https://click.info15.citi.com/u/?qs=ABB7InYiOjEsImQiOjQ5MzN9AAsAAAAAAs_jaqFdMYKbka8yJCV629JyKsLVLeqQ8rzvGpRgtiZ7A8PZu-2Uv3OMJinkKUkJ0ZktF8FtIWnFznUKPzrhz5C4m5SwnmUgW6S5FRdCbkr1xQ 

https://click.info15.citi.com/u/?qs=ABB7InYiOjEsImQiOjQ5MzN9AAsAAAAAAs_jaqFe_5LcjksTrrO2Gh4C8WrT6LClARZl8FlpkdUQxF5RFq--s_nWR7toVOVNIg5zMVmLp0YORxghjs-o9GQwe9JH1Fy0w8BcgqkAHpU2Fw 

  
https://click.info15.citi.com/u/?qs=ABB7InYiOjEsImQiOjQ5MzN9AAsAAAAAAs_jaqFf7im6oiPhrg8cx32-83FJbFRkcOgWu5BAot7TG9HMfDQb62qEjXur3ihKXm4p8A950hlvG1o31AD0o8sqYseXdKXBedrXu9WaTvnw8Q 
Security Zone:  Ashok Mamidi

 

 

 
Variables Dashboard

 Switch Values:
SEND
False
FALSE (Dashboard display boolean)

 
Links:
N/A
",Other,low,Marketing email regarding Macy's American Express card rewards offer.,standard_reply,False,0.42297829689530725,Gemini
19f4dcee81234cb5,Mobile Developer at Toshiba Global Commerce Solutions,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Fri, 10 Jul 2026 20:53:52 +0000 (UTC)","Your job alert for mobile application developer in United States          
New jobs match your preferences.
            
Mobile Developer
Toshiba Global Commerce Solutions
Durham, NC

This company is actively hiring
View job: https://www.linkedin.com/comm/jobs/view/4384287353/?trackingId=KdLM3hvLmPQ%2FYSGbhm5WzQ%3D%3D&refId=YoIS8ild%2BfP3KDBRE0%2FaxA%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BJ11wrAWZTyGQXDaq2dRdxg%3D%3D&midToken=AQG15JqzYvDi5Q&midSig=1RASxbC59BDYk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_text_0_jobid_4384287353_ssid_1736098525_fmid_23jf9m~mrfey3eg~7a&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_text_0_jobid_4384287353_ssid_1736098525_fmid_23jf9m~mrfey3eg~7a-null-23jf9m~mrfey3eg~7a-null-null&eid=23jf9m-mrfey3eg-7a&otpToken=MTMwNzE4ZTgxNTI5Y2RjMWI0MjQwNGVkNGUxZGUwYjU4OWM2ZDM0MDlhYTg4YzYxNzRjNTAzNmY0YTU5NWRmNWY2ZGY4M2JlNGNkNWJjZTc3OWJmNTlhNmM1MjUxZDMxMjAwYTE0YWRhZDc4MGFmMTYwYTMsMSwx

------",Other,low,Automated LinkedIn job alert email notification.,standard_reply,False,0.3312215551164485,Gemini
19dbf43e2608e0c7,9 Big stories you shouldn’t miss this week!,Mint <info@money.livemint.com>,"Fri, 24 Apr 2026 17:03:10 +0530","To view this email message, open it in a program that understands HTML!

",Other,low,Marketing newsletter email received from Mint.,standard_reply,False,0.3509431460093553,Gemini
19dbf2bb7fecbb85,Your referral reward just doubled 😃,Remit2Any <raghu@remit2any.com>,"Fri, 24 Apr 2026 11:06:45 +0000","Get ₹1000 for every successful referral 💰

[https://mmstorageprod1.blob.core.windows.net/company-logo-store/remit2any_2025-06-25T11-21-09-507Z.png]

Image
[https://img.mmdocdn.com/mailmodo/image/upload/ar_1731:600,c_crop/v1776973468/editor/p/cc1903d1-ae37-494f-8388-72f79450efb9/0455e7b6692f768a7c2c598bab2c2eac_gsvt9v.jpg]https://remit2any.com/secure/referral

Hi there,

Your referral reward just got doubled. 🤩


Refer a friend to Remit2Any, and you’ll both earn ₹1000 each when they complete
their first transfer. 

 

Here’s how it works:

• Share your referral link or code
• Your friend signs up and completes their first transfer before 30th April.
• You both get ₹1000 each
 

Help them send more money home at Google rates with zero fees.

A smarter way to send money home with more reaching every time.

 

Valid till 30th April. After that, it’s back to ₹500. 

Refer Now [https://remit2any.com/secure/referral]

Facebook
[https://img.mmdocdn.com/mailmodo/image/upload/editor/constants/so",Other,low,Marketing email regarding a referral reward promotion.,standard_reply,False,0.2515525110234408,Gemini
19dbf1fe2e8abe7b,“ios”: develop - Mobile Engineer and more,LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Fri, 24 Apr 2026 10:53:51 +0000 (UTC)","Your job alert for ios in United States          
New jobs match your preferences.
Manage alerts: https://www.linkedin.com/comm/jobs/alerts?lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BB2euoG5AQ9mdP%2F8oNPX%2F0Q%3D%3D&midToken=AQG15JqzYvDi5Q&midSig=1sVVeyXGrJWYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-manage_alerts_text_ssid_1739600477_fmid_23jf9m~mocslvic~8s&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-manage_alerts_text_ssid_1739600477_fmid_23jf9m~mocslvic~8s-null-23jf9m~mocslvic~8s-null-null&eid=23jf9m-mocslvic-8s&otpToken=MTMwNzE4ZTgxNTI5Y2RjMWI0MjQwNGVkNDExOWU3YjY4N2NlZDM0MTlhYWI4NzYxNzRjNTAzNmY0YTU5NWRmNWY2ZGZiM2E3NjViN2IwZDM0YzlkMGViODc5OTc2OGM2OTkxMGU1ZDJlODIxOWNjM2Y3N2YsMSwx
          
Mobile Engineer
develop
United Kingdom

This company is actively hiring
Apply with resume & profile
View job: https://www.linkedin.com/comm/jobs/view/4402498274/?trackingId=ykaf61d9u2QapRqsznHGLg%3D%3D&refId=JX9Ry0SLZkcGgsbckSDAfQ%3D%3D&lipi=urn%3",Other,low,Automated LinkedIn job alert email notification.,standard_reply,False,0.28817746869071514,Gemini
19dbf13d475e600d,The Morning: Youth suicides drop,The New York Times <nytdirect@nytimes.com>,"Fri, 24 Apr 2026 10:40:23 +0000","<!DOCTYPE html><html xmlns=""http://www.w3.org/1999/xhtml"" xmlns:v=""urn:schemas-microsoft-com:vml"" xmlns:o=""urn:schemas-microsoft-com:office:office""><head><title>The Morning: Youth suicides drop</title><!--[if !mso]><!-- --><meta http-equiv=""X-UA-Compatible"" content=""IE=edge""><!--<![endif]--><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta name=""viewport"" content=""width=device-width,initial-scale=1""><style type=""text/css"">#outlook a{padding:0}body{margin:0;padding:0;-webkit-text-size-adjust:100%;-ms-text-size-adjust:100%}table,td{border-collapse:collapse;mso-table-lspace:0;mso-table-rspace:0}img{border:0;height:auto;line-height:100%;outline:0;text-decoration:none;-ms-interpolation-mode:bicubic}p{display:block;margin:13px 0}p,ul{margin-top:0}@media (max-width:600px){body{padding:0 15px!important}}</style><!--[if mso]>
        <xml>
        <o:OfficeDocumentSettings>
          <o:AllowPNG/>
          <o:PixelsPerInch>96</o:PixelsPerInch>
        </o:OfficeDocumentS",Other,low,Newsletter email received from The New York Times.,standard_reply,False,0.3307226060058171,Gemini
19dbf0e6b6afd0f6,No margin for error,Snacks <hello@snacks.robinhood.com>,"Fri, 24 Apr 2026 06:34:43 -0400 (EDT)",,Other,low,Newsletter email regarding financial market updates.,standard_reply,False,0.25652830050349074,Gemini
19dbefe3b737e97c,Save 15% 👟 Season's Best Shoe Sale? Right this way 👉,"""Kohl’s"" <Kohls@s.kohls.com>","Fri, 24 Apr 2026 04:16:43 -0600","
 
 
 

 


 
 
https://click.s.kohls.com/?qs=ABB7InYiOjEsImQiOjQ4NTZ9AAYAAAAAAFNYFnKoJNYU1IJNu9z1AQILHIQl3IHJgUx4cE2FGjVdwGIepzsmHYbXuwtxexCdaCg4qonVcg5aeMa-H9JOmy8TZlXRsQWgBPtKrIQ 

 Plus, there's Kohl's Cash to earn and more reasons to shop.
  &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847;
&#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847;
&#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847;
&#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847;
&#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847;
&#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847;
&#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199;&#847; &#8199",Other,low,Marketing promotional email from Kohl's regarding a shoe sale.,standard_reply,False,0.2700474315678326,Gemini
19dbea3131801d43,"A/c No.xx7541, 📈 Your Good Credit Score gave you a Great Loan Offer of ₹ 2.74 Lacs!",HDFC Bank Hitesh Sunil Agrawal <information@hdfcbank.bank.in>,"Fri, 24 Apr 2026 08:37:30 +0000","Hello,
If your email software can't display HTML emails. You can view the newsletter by clicking here:
https://trkp.aclmails.in/c/v/2/v1/177893/5cd514d733874801.c9e92295204aecab.ba52db177f492a26bbe4c43cddc2.fcdad46fa73565279635.aa2a.49fb1ec09718.f5e610ffb5e1.4fa85dd65ca0.772d4d9412e1.9a3d/eyJhY2N0X2xhc3Q0X2RpZ2l0IjoieHg3NTQxIiwiYW5hbHl0aWNhbF9kZWNpbGUiOiI0IiwiY3JlZGl0X21hdHVyZV9zZWciOiJOb25lIiwiZW1haWwiOiJhc2hva21hbWlkaTQ3N0BnbWFpbC5jb20iLCJlbWFpbGlkIjoiYXNob2ttYW1pZGk0NzdAZ21haWwuY29tIiwiZmluYWxfY2FzYV92aW50YWdlIjoiMTMuOSB5ZWFycyIsImZpbmFsX2lyciI6IjEyLjAwJSIsImZpbmFsX3RhZyI6IlNUUCIsImZpcnN0X25hbWUiOiJBc2hvayIsImlkIjoiNTA3NTE0ODgyMDUiLCJsb2FuYW10IjoiMi43NCBMYWNzIiwib2xkX2lyciI6IjEwLjk5Iiwib2xkX2xvYW5hbXQiOiIyLjc0IExhY3MiLCJwbF9hbXQiOiIyLjc0IiwicHJvcGVuc2l0eV9zZWdtZW50IjoiRjQtT1RIRVIiLCJzbV9ibSI6IkhERkMgQmFuayBIaXRlc2ggU3VuaWwgQWdyYXdhbCJ9

Copy and paste the following link in your browser to unsubscribe:
https://trkp.aclmails.in/c/u/2/v1/177893/5cd514d733874801.c9e92295204aecab.ba",Other,low,Phishing or unsolicited marketing email disguised as a bank loan offer.,flag_for_review,False,0.5167172349191015,Gemini
